中国🇨🇳湾湾,#genre#
精選動漫台,http://192.168.31.2:5088/4gtv/204
經典卡通台,http://192.168.31.2:5088/4gtv/202
達文西頻道,http://192.168.31.2:5088/litv/4gtv-4gtv018
超人力霸王整套看,http://192.168.31.2:5088/4gtv/278
MOMO 親子台,http://192.168.31.2:5088/4gtv/231
LiveABC 互動英語台,http://192.168.31.2:5088/4gtv/188
Classica 古典樂,http://192.168.31.2:5088/litv/4gtv-4gtv059
Lifetime 娛樂頻道,http://192.168.31.2:5088/4gtv/217
MTV Live HD 音樂頻道,http://192.168.31.2:5088/4gtv/213
Mezzo Live,http://192.168.31.2:5088/litv/4gtv-4gtv083
豬哥亮歌廳秀,http://192.168.31.2:5088/litv/4gtv-4gtv006
Trace Urban,http://192.168.31.2:5088/litv/4gtv-4gtv082
Global Trekker,http://192.168.31.2:5088/4gtv/252
韓國娛樂台,http://192.168.31.2:5088/litv/4gtv-4gtv016
LUXE TV,http://192.168.31.2:5088/4gtv/175
Pet Club TV,http://192.168.31.2:5088/4gtv/182
TV5MONDE Style,http://192.168.31.2:5088/4gtv/178
車迷 TV,http://192.168.31.2:5088/4gtv/160
Love Nature,http://192.168.31.2:5088/4gtv/139
Fun 探索娛樂台,http://192.168.31.2:5088/4gtv/274
幸福空間居家台,http://192.168.31.2:5088/4gtv/168
Arirang TV,http://192.168.31.2:5088/litv/4gtv-4gtv079
Bloomberg TV,http://192.168.31.2:5088/4gtv/283
VOA 美國之音,http://192.168.31.2:5088/litv/litv-ftv03
DW德國之聲,http://192.168.31.2:5088/4gtv/226
SBN 全球財經台,http://192.168.31.2:5088/4gtv/224
半島國際新聞台,http://192.168.31.2:5088/litv/litv-ftv10
第1商業台,http://192.168.31.2:5088/litv/4gtv-4gtv104
History 歷史頻道,http://192.168.31.2:5088/4gtv/214
CI 罪案偵查頻道,http://192.168.31.2:5088/4gtv/215
Smart 知識台,http://192.168.31.2:5088/litv/litv-longturn19
視納華仁紀實頻道,http://192.168.31.2:5088/litv/4gtv-4gtv013
